Indicator Code,Country or Area Code,Country or Area,Time Code,Year,Value,Value Footnotes
NY.GDP.PCAP.PP.CD,ALB,Albania,1990,1990,2548.875438,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2018,2018,11750.37917,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2017,2017,11550.55546,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2016,2016,11624.31583,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2015,2015,12015.64908,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2014,2014,13003.19323,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2013,2013,13056.78872,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2012,2012,13303.4155,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2011,2011,13500.47566,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2010,2010,13095.86782,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2009,2009,12722.78719,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2008,2008,12643.55561,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2007,2007,12311.4348,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2006,2006,11776.41993,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2005,2005,11406.00704,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2004,2004,10591.37471,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2003,2003,10019.67993,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2002,2002,9294.135581,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2001,2001,8775.399134,
NY.GDP.PCAP.PP.CD,DZA,Algeria,2000,2000,8446.859524,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1999,1999,8068.555519,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1998,1998,7817.021883,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1997,1997,7466.139345,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1996,1996,7377.936674,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1995,1995,7083.012459,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1994,1994,6812.439525,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1993,1993,6871.418624,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1992,1992,7010.394905,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1991,1991,6893.121808,
NY.GDP.PCAP.PP.CD,DZA,Algeria,1990,1990,6916.718865,
NY.GDP.PCAP.PP.CD,AGO,Angola,2018,2018,7097.118768,
NY.GDP.PCAP.PP.CD,AGO,Angola,2017,2017,7310.901738,
NY.GDP.PCAP.PP.CD,AGO,Angola,2016,2016,7103.225938,
NY.GDP.PCAP.PP.CD,AGO,Angola,2015,2015,7337.569559,
NY.GDP.PCAP.PP.CD,AGO,Angola,2014,2014,8179.296007,
NY.GDP.PCAP.PP.CD,AGO,Angola,2013,2013,7682.477158,
NY.GDP.PCAP.PP.CD,AGO,Angola,2012,2012,7412.965263,
NY.GDP.PCAP.PP.CD,AGO,Angola,2011,2011,6710.750346,
NY.GDP.PCAP.PP.CD,AGO,Angola,2010,2010,6587.986901,
NY.GDP.PCAP.PP.CD,AGO,Angola,2009,2009,6442.579618,
NY.GDP.PCAP.PP.CD,AGO,Angola,2008,2008,6578.60518,
NY.GDP.PCAP.PP.CD,AGO,Angola,2007,2007,6024.339584,
NY.GDP.PCAP.PP.CD,AGO,Angola,2006,2006,5338.740473,
NY.GDP.PCAP.PP.CD,AGO,Angola,2005,2005,4816.706304,
NY.GDP.PCAP.PP.CD,AGO,Angola,2004,2004,4207.120526,
NY.GDP.PCAP.PP.CD,AGO,Angola,2003,2003,3822.127628,
NY.GDP.PCAP.PP.CD,AGO,Angola,2002,2002,3768.716445,
NY.GDP.PCAP.PP.CD,AGO,Angola,2001,2001,3374.481997,
NY.GDP.PCAP.PP.CD,AGO,Angola,2000,2000,3275.128628,
NY.GDP.PCAP.PP.CD,AGO,Angola,1999,1999,3212.121577,
NY.GDP.PCAP.PP.CD,AGO,Angola,1998,1998,3201.146301,
NY.GDP.PCAP.PP.CD,AGO,Angola,1997,1997,3122.898809,
NY.GDP.PCAP.PP.CD,AGO,Angola,1996,1996,2955.356381,
NY.GDP.PCAP.PP.CD,AGO,Angola,1995,1995,2639.510275,
NY.GDP.PCAP.PP.CD,AGO,Angola,1994,1994,2321.581288,
NY.GDP.PCAP.PP.CD,AGO,Angola,1993,1993,2316.543643,
NY.GDP.PCAP.PP.CD,AGO,Angola,1992,1992,3075.122933,
NY.GDP.PCAP.PP.CD,AGO,Angola,1991,1991,3299.500756,
NY.GDP.PCAP.PP.CD,AGO,Angola,1990,1990,3267.067004,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2018,2018,21614.06606,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2017,2017,19840.07612,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2016,2016,19918.79063,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2015,2015,18912.31748,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2014,2014,19039.0045,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2013,2013,18796.39395,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2012,2012,19597.59032,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2011,2011,20347.18454,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2010,2010,20611.91407,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2009,2009,22369.99356,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2008,2008,25657.99856,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2007,2007,25586.80717,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2006,2006,23170.31627,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2005,2005,20253.77387,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2004,2004,18717.72024,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2003,2003,17463.35539,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2002,2002,16373.16,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2001,2001,16178.60205,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,2000,2000,16918.59609,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1999,1999,15789.46794,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1998,1998,15305.45061,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1997,1997,14757.70638,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1996,1996,14055.08574,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1995,1995,13230.59946,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1994,1994,13845.13892,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1993,1993,12982.98807,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1992,1992,12290.47004,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1991,1991,12085.9845,
NY.GDP.PCAP.PP.CD,ATG,Antigua and Barbuda,1990,1990,11595.09015,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2018,2018,14972.43073,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2017,2017,14557.76847,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2016,2016,14012.69793,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2015,2015,14609.63202,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2014,2014,16213.19333,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2013,2013,16501.66971,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2012,2012,16546.02371,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2011,2011,15514.35893,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2010,2010,15025.46757,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2009,2009,14522.4436,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2008,2008,14656.03738,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2007,2007,13914.32088,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2006,2006,13288.10316,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2005,2005,12440.94874,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2004,2004,11683.73611,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2003,2003,10660.27425,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2002,2002,10201.27755,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2001,2001,10210.30968,
NY.GDP.PCAP.PP.CD,ARB,Arab World,2000,2000,10044.09785,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1999,1999,9526.801856,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1998,1998,9405.352678,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1997,1997,9001.711806,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1996,1996,8687.177418,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1995,1995,8350.17564,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1994,1994,8216.130174,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1993,1993,8021.948011,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1992,1992,7824.596626,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1991,1991,7419.537451,
NY.GDP.PCAP.PP.CD,ARB,Arab World,1990,1990,6851.732087,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2018,2018,23282.63704,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2017,2017,23562.91883,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2016,2016,20307.87005,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2015,2015,20105.19899,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2014,2014,19683.77151,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2013,2013,20131.68042,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2012,2012,19641.35286,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2011,2011,19322.22712,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2010,2010,18061.93436,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2009,2009,16334.74001,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2008,2008,17404.06871,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2007,2007,16570.01117,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2006,2006,14951.72819,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2005,2005,13568.76676,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2004,2004,12214.74008,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2003,2003,11025.18552,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2002,2002,10052.48666,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2001,2001,11226.87734,
NY.GDP.PCAP.PP.CD,ARG,Argentina,2000,2000,11618.79607,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1999,1999,11581.89051,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1998,1998,11949.41602,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1997,1997,11507.89833,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1996,1996,10586.11057,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1995,1995,9969.600598,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1994,1994,10175.12512,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1993,1993,9532.888696,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1992,1992,8719.101682,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1991,1991,8005.465558,
NY.GDP.PCAP.PP.CD,ARG,Argentina,1990,1990,7195.691444,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2018,2018,13014.99203,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2017,2017,12115.05701,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2016,2016,10704.23341,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2015,2015,9969.685301,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2014,2014,10036.88984,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2013,2013,9835.833011,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2012,2012,9364.407767,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2011,2011,8025.452905,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2010,2010,7506.308865,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2009,2009,7233.044937,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2008,2008,8300.483424,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2007,2007,7551.635907,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2006,2006,6411.806636,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2005,2005,5455.422185,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2004,2004,4614.862114,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2003,2003,4043.663101,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2002,2002,3463.98378,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2001,2001,2995.907863,
NY.GDP.PCAP.PP.CD,ARM,Armenia,2000,2000,2658.349518,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1999,1999,2439.911173,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1998,1998,2313.620772,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1997,1997,2115.611643,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1996,1996,1990.577896,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1995,1995,1818.286948,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1994,1994,1632.342879,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1993,1993,1480.515155,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1992,1992,1549.084965,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1991,1991,2555.995824,
NY.GDP.PCAP.PP.CD,ARM,Armenia,1990,1990,2773.937657,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2017,2017,38442.41384,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2016,2016,37359.37344,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2015,2015,36765.11607,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2014,2014,36444.26206,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2013,2013,36477.77939,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2012,2012,33569.1865,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2011,2011,34326.14482,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2010,2010,32624.20909,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2009,2009,33552.88982,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2008,2008,37249.45046,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2007,2007,36621.03511,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2006,2006,35167.16636,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2005,2005,34050.47157,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2004,2004,33053.24653,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2003,2003,30355.73238,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2002,2002,29847.92835,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2001,2001,31062.34929,
NY.GDP.PCAP.PP.CD,ABW,Aruba,2000,2000,32031.55543,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1999,1999,29718.16982,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1998,1998,29509.87661,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1997,1997,29222.89491,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1996,1996,27562.45967,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1995,1995,27707.43423,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1994,1994,27714.71661,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1993,1993,26529.23395,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1992,1992,25661.319,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1991,1991,25020.50717,
NY.GDP.PCAP.PP.CD,ABW,Aruba,1990,1990,23309.02052,
NY.GDP.PCAP.PP.CD,AUS,Australia,2018,2018,51036.40589,
NY.GDP.PCAP.PP.CD,AUS,Australia,2017,2017,48905.4172,
NY.GDP.PCAP.PP.CD,AUS,Australia,2016,2016,47349.92795,
NY.GDP.PCAP.PP.CD,AUS,Australia,2015,2015,46276.15069,
NY.GDP.PCAP.PP.CD,AUS,Australia,2014,2014,46880.22066,
NY.GDP.PCAP.PP.CD,AUS,Australia,2013,2013,45902.04795,
NY.GDP.PCAP.PP.CD,AUS,Australia,2012,2012,42826.78958,
NY.GDP.PCAP.PP.CD,AUS,Australia,2011,2011,41965.35842,
NY.GDP.PCAP.PP.CD,AUS,Australia,2010,2010,39301.60265,
NY.GDP.PCAP.PP.CD,AUS,Australia,2009,2009,40301.95776,
NY.GDP.PCAP.PP.CD,AUS,Australia,2008,2008,37459.30765,
NY.GDP.PCAP.PP.CD,AUS,Australia,2007,2007,36546.47319,
NY.GDP.PCAP.PP.CD,AUS,Australia,2006,2006,34290.52448,
NY.GDP.PCAP.PP.CD,AUS,Australia,2005,2005,32575.06925,
NY.GDP.PCAP.PP.CD,AUS,Australia,2004,2004,31299.84952,
NY.GDP.PCAP.PP.CD,AUS,Australia,2003,2003,29732.1296,
NY.GDP.PCAP.PP.CD,AUS,Australia,2002,2002,28718.24108,
NY.GDP.PCAP.PP.CD,AUS,Australia,2001,2001,27356.53206,
NY.GDP.PCAP.PP.CD,AUS,Australia,2000,2000,26318.41621,
NY.GDP.PCAP.PP.CD,AUS,Australia,1999,1999,25264.36436,
NY.GDP.PCAP.PP.CD,AUS,Australia,1998,1998,24172.6781,
NY.GDP.PCAP.PP.CD,AUS,Australia,1997,1997,22924.91501,
NY.GDP.PCAP.PP.CD,AUS,Australia,1996,1996,21957.40164,
NY.GDP.PCAP.PP.CD,AUS,Australia,1995,1995,20878.66351,
NY.GDP.PCAP.PP.CD,AUS,Australia,1994,1994,20051.38021,
NY.GDP.PCAP.PP.CD,AUS,Australia,1993,1993,19118.8705,
NY.GDP.PCAP.PP.CD,AUS,Australia,1992,1992,18176.89108,
NY.GDP.PCAP.PP.CD,AUS,Australia,1991,1991,17784.35669,
NY.GDP.PCAP.PP.CD,AUS,Australia,1990,1990,17332.33387,
NY.GDP.PCAP.PP.CD,AUT,Austria,2018,2018,56871.2114,
NY.GDP.PCAP.PP.CD,AUT,Austria,2017,2017,54637.00128,
NY.GDP.PCAP.PP.CD,AUT,Austria,2016,2016,52633.25429,
NY.GDP.PCAP.PP.CD,AUT,Austria,2015,2015,49879.26647,
NY.GDP.PCAP.PP.CD,AUT,Austria,2014,2014,48799.71547,
NY.GDP.PCAP.PP.CD,AUT,Austria,2013,2013,47922.04912,
NY.GDP.PCAP.PP.CD,AUT,Austria,2012,2012,46457.34578,
NY.GDP.PCAP.PP.CD,AUT,Austria,2011,2011,44452.73275,
NY.GDP.PCAP.PP.CD,AUT,Austria,2010,2010,42037.49048,
NY.GDP.PCAP.PP.CD,AUT,Austria,2009,2009,40957.50075,
NY.GDP.PCAP.PP.CD,AUT,Austria,2008,2008,41316.22518,
NY.GDP.PCAP.PP.CD,AUT,Austria,2007,2007,39389.68501,
NY.GDP.PCAP.PP.CD,AUT,Austria,2006,2006,37616.74016,
NY.GDP.PCAP.PP.CD,AUT,Austria,2005,2005,35013.71404,
NY.GDP.PCAP.PP.CD,AUT,Austria,2004,2004,33743.19828,
NY.GDP.PCAP.PP.CD,AUT,Austria,2003,2003,32109.13812,
NY.GDP.PCAP.PP.CD,AUT,Austria,2002,2002,31178.69333,
NY.GDP.PCAP.PP.CD,AUT,Austria,2001,2001,29715.51204,
NY.GDP.PCAP.PP.CD,AUT,Austria,2000,2000,29387.0283,
NY.GDP.PCAP.PP.CD,AUT,Austria,1999,1999,27606.48303,
NY.GDP.PCAP.PP.CD,AUT,Austria,1998,1998,26674.52283,
NY.GDP.PCAP.PP.CD,AUT,Austria,1997,1997,25418.14922,
NY.GDP.PCAP.PP.CD,AUT,Austria,1996,1996,24516.64812,
NY.GDP.PCAP.PP.CD,AUT,Austria,1995,1995,23653.65842,
NY.GDP.PCAP.PP.CD,AUT,Austria,1994,1994,22600.3979,
NY.GDP.PCAP.PP.CD,AUT,Austria,1993,1993,21692.13399,
NY.GDP.PCAP.PP.CD,AUT,Austria,1992,1992,21253.56497,
NY.GDP.PCAP.PP.CD,AUT,Austria,1991,1991,20579.13804,
NY.GDP.PCAP.PP.CD,AUT,Austria,1990,1990,19436.76437,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2018,2018,14544.95336,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2017,2017,14121.40694,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2016,2016,14371.02274,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2015,2015,14938.40113,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2014,2014,17443.87826,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2013,2013,17188.94551,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2012,2012,15957.71885,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2011,2011,14804.57445,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2010,2010,14926.63764,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2009,2009,14248.89246,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2008,2008,13200.94071,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2007,2007,11957.39117,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2006,2006,9387.109349,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2005,2005,6850.813019,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2004,2004,5245.425251,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2003,2003,4716.377612,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2002,2002,4233.440063,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2001,2001,3836.599591,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,2000,2000,3442.631932,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1999,1999,3055.925307,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1998,1998,2829.595097,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1997,1997,2567.987405,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1996,1996,2409.193306,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1995,1995,2359.216402,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1994,1994,2650.261176,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1993,1993,3275.423184,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1992,1992,4224.438786,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1991,1991,5417.78633,
NY.GDP.PCAP.PP.CD,AZE,Azerbaijan,1990,1990,5360.070529,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2018,2018,47333.4912,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2017,2017,47642.44829,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2016,2016,44790.08785,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2015,2015,45686.24664,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2014,2014,51101.90053,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2013,2013,51494.41172,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2012,2012,50675.58204,
NY.GDP.PCAP.PP.CD,BHR,Bahrain,2011,2011,47377.57244,
