"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Barbados","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Barbados","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Barbados","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Barbados","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Barbados","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Barbados","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Barbados","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belarus","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belarus","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belarus","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belarus","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belarus","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belarus","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belarus","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belgium","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belgium","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belgium","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belgium","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belgium","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belgium","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belgium","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belize","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belize","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belize","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Belize","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Belize","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belize","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Belize","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Benin","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Benin","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Benin","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Benin","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Benin","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Benin","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Benin","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bhutan","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bhutan","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bhutan","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bhutan","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bhutan","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bhutan","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bhutan","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bolivia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bolivia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bolivia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bolivia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bolivia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bolivia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bolivia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bosnia and Herzegovina","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bosnia and Herzegovina","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bosnia and Herzegovina","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bosnia and Herzegovina","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bosnia and Herzegovina","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bosnia and Herzegovina","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bosnia and Herzegovina","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Botswana","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Botswana","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Botswana","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Botswana","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Botswana","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Botswana","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Botswana","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Brazil","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brazil","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brazil","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brazil","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Brazil","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brazil","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brazil","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Brunei","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brunei","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brunei","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brunei","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brunei","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brunei","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Brunei","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bulgaria","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bulgaria","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bulgaria","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bulgaria","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bulgaria","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bulgaria","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bulgaria","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burkina Faso","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Burkina Faso","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burkina Faso","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Burkina Faso","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burkina Faso","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burkina Faso","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burkina Faso","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burundi","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Burundi","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Burundi","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Burundi","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Burundi","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burundi","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Burundi","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cambodia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cambodia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cambodia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cambodia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cambodia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cambodia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cambodia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cameroon","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cameroon","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cameroon","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cameroon","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cameroon","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cameroon","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cameroon","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Canada","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Canada","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Canada","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Canada","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Canada","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Canada","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Canada","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cape Verde","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cape Verde","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cape Verde","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cape Verde","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cape Verde","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cape Verde","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cape Verde","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Central African Republic","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Central African Republic","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Central African Republic","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Central African Republic","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Central African Republic","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Central African Republic","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Central African Republic","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Chad","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Chad","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Chad","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Chad","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Chad","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Chad","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Chad","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Chile","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"Chile","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"Chile","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"Chile","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"Chile","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"Chile","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"Chile","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"China","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"China","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"China","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"China","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"China","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"China","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"China","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Colombia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Colombia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Colombia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Colombia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Colombia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Colombia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Colombia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Comoros","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Comoros","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Comoros","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Comoros","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Comoros","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Comoros","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Comoros","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Congo","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Congo Dem. Rep.","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo Dem. Rep.","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo Dem. Rep.","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo Dem. Rep.","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo Dem. Rep.","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo Dem. Rep.","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Congo Dem. Rep.","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Cook Islands","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cook Islands","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cook Islands","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cook Islands","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cook Islands","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cook Islands","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cook Islands","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Costa Rica","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Costa Rica","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Costa Rica","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Costa Rica","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Costa Rica","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Costa Rica","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Costa Rica","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Côte d’Ivoire","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Côte d’Ivoire","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Côte d’Ivoire","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Côte d’Ivoire","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Côte d’Ivoire","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Côte d’Ivoire","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Côte d’Ivoire","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Croatia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Croatia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Croatia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Croatia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Croatia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Croatia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Croatia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cuba","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cuba","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cuba","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cuba","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cuba","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cuba","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
